ID;Condition;Day 1 Date;Day 1 Intended Bedtime;Day 1 Actual Bedtime;Day 1 Bedtime Difference Time (sec);Day 1 Nudge Time;Day 1 Rise Time;Day 1 In Bed Time (sec);Day 1 Had Rise Reason;Day 1 Fitness;Day 1 Adherence Importance;Day 2 Date;Day 2 Intended Bedtime;Day 2 Actual Bedtime;Day 2 Bedtime Difference Time (sec);Day 2 Nudge Time;Day 2 Rise Time;Day 2 In Bed Time (sec);Day 2 Had Rise Reason;Day 2 Fitness;Day 2 Adherence Importance;Day 3 Date;Day 3 Intended Bedtime;Day 3 Actual Bedtime;Day 3 Bedtime Difference Time (sec);Day 3 Nudge Time;Day 3 Rise Time;Day 3 In Bed Time (sec);Day 3 Had Rise Reason;Day 3 Fitness;Day 3 Adherence Importance;Day 4 Date;Day 4 Intended Bedtime;Day 4 Actual Bedtime;Day 4 Bedtime Difference Time (sec);Day 4 Nudge Time;Day 4 Rise Time;Day 4 In Bed Time (sec);Day 4 Had Rise Reason;Day 4 Fitness;Day 4 Adherence Importance;Day 5 Date;Day 5 Intended Bedtime;Day 5 Actual Bedtime;Day 5 Bedtime Difference Time (sec);Day 5 Nudge Time;Day 5 Rise Time;Day 5 In Bed Time (sec);Day 5 Had Rise Reason;Day 5 Fitness;Day 5 Adherence Importance;Day 6 Date;Day 6 Intended Bedtime;Day 6 Actual Bedtime;Day 6 Bedtime Difference Time (sec);Day 6 Nudge Time;Day 6 Rise Time;Day 6 In Bed Time (sec);Day 6 Had Rise Reason;Day 6 Fitness;Day 6 Adherence Importance;Day 7 Date;Day 7 Intended Bedtime;Day 7 Actual Bedtime;Day 7 Bedtime Difference Time (sec);Day 7 Nudge Time;Day 7 Rise Time;Day 7 In Bed Time (sec);Day 7 Had Rise Reason;Day 7 Fitness;Day 7 Adherence Importance;Day 8 Date;Day 8 Intended Bedtime;Day 8 Actual Bedtime;Day 8 Bedtime Difference Time (sec);Day 8 Nudge Time;Day 8 Rise Time;Day 8 In Bed Time (sec);Day 8 Had Rise Reason;Day 8 Fitness;Day 8 Adherence Importance;Day 9 Date;Day 9 Intended Bedtime;Day 9 Actual Bedtime;Day 9 Bedtime Difference Time (sec);Day 9 Nudge Time;Day 9 Rise Time;Day 9 In Bed Time (sec);Day 9 Had Rise Reason;Day 9 Fitness;Day 9 Adherence Importance;Day 10 Date;Day 10 Intended Bedtime;Day 10 Actual Bedtime;Day 10 Bedtime Difference Time (sec);Day 10 Nudge Time;Day 10 Rise Time;Day 10 In Bed Time (sec);Day 10 Had Rise Reason;Day 10 Fitness;Day 10 Adherence Importance;Day 11 Date;Day 11 Intended Bedtime;Day 11 Actual Bedtime;Day 11 Bedtime Difference Time (sec);Day 11 Nudge Time;Day 11 Rise Time;Day 11 In Bed Time (sec);Day 11 Had Rise Reason;Day 11 Fitness;Day 11 Adherence Importance;Day 12 Date;Day 12 Intended Bedtime;Day 12 Actual Bedtime;Day 12 Bedtime Difference Time (sec);Day 12 Nudge Time;Day 12 Rise Time;Day 12 In Bed Time (sec);Day 12 Had Rise Reason;Day 12 Fitness;Day 12 Adherence Importance
1;0;31/05/2015;00:00;03:09;11340.0;NA;11:00;28250.0;NO;49;34;01/06/2015;00:00;01:15;4500.0;NA;11:00;26994.0;YES;81;80;02/06/2015;00:00;00:54;3240.0;NA;08:45;30902.0;YES;60;38;03/06/2015;00:00;01:18;4680.0;NA;09:30;36101.0;YES;71;42;04/06/2015;00:00;00:32;1920.0;NA;11:20;37645.0;YES;48;81;05/06/2015;01:00;03:09;7740.0;NA;11:00;28253.0;NO;0;0;06/06/2015;02:00;01:26;-2040.0;NA;11:00;37990.0;NO;79;11;07/06/2015;01:00;03:26;8760.0;NA;12:00;27187.0;YES;62;71;08/06/2015;00:00;01:48;6480.0;NA;11:00;31279.0;NO;0;0;09/06/2015;00:00;01:41;6060.0;NA;10:30;29923.0;YES;74;100;10/06/2015;01:00;02:33;5580.0;NA;10:00;28597.0;YES;53;76;11/06/2015;01:00;NA;NA;NA;10:30;NA;NO;79;0
2;0;12/04/2015;23:00;23:07;420.0;NA;09:00;26543.0;YES;70;100;13/04/2015;22:00;23:45;6300.0;NA;06:30;26692.0;YES;46;100;14/04/2015;23:30;00:15;2700.0;NA;07:10;24899.0;YES;70;100;15/04/2015;23:00;22:56;-240.0;NA;07:10;29597.0;YES;44;94;16/04/2015;23:00;23:32;1920.0;NA;07:10;31678.0;NO;75;0;17/04/2015;01:00;01:20;1200.0;NA;08:20;26657.0;NO;100;60;18/04/2015;23:30;NA;NA;NA;08:45;NA;NO;61;19;19/04/2015;23:20;23:19;-60.0;NA;09:20;28201.0;NO;0;0;20/04/2015;23:30;23:10;-1200.0;NA;07:10;28865.0;YES;79;100;21/04/2015;23:30;23:34;240.0;NA;07:12;27532.0;YES;86;100;22/04/2015;22:30;23:48;4680.0;NA;07:13;NA;YES;74;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;1;12/04/2015;NA;NA;NA;23:00;NA;NA;NA;NA;NA;13/04/2015;22:30;22:45;900.0;23:00;07:30;33299.0;YES;95;74;14/04/2015;22:30;23:20;3000.0;22:30;08:00;30296.0;YES;74;87;15/04/2015;22:30;22:40;600.0;22:30;07:45;31771.0;YES;48;88;16/04/2015;23:00;22:49;-660.0;22:45;07:30;29427.0;YES;61;71;17/04/2015;00:00;02:46;9960.0;23:00;07:00;23334.0;NO;43;11;18/04/2015;23:00;01:59;10740.0;23:45;09:15;31534.0;NO;50;57;19/04/2015;22:45;23:38;3180.0;22:45;10:45;NA;YES;35;94;20/04/2015;NA;NA;NA;22:45;NA;NA;NA;NA;NA;21/04/2015;23:00;22:49;-660.0;23:00;07:45;33929.0;YES;79;85;22/04/2015;22:45;22:56;660.0;22:15;08:15;29039.0;YES;64;74;23/04/2015;23:00;22:47;-780.0;22:45;07:00;30457.0;YES;56;77
5;1;12/04/2015;23:00;23:43;2580.0;22:45;11:30;28919.0;YES;26;75;13/04/2015;23:00;23:24;1440.0;23:12;07:45;30311.0;YES;20;93;14/04/2015;23:00;01:12;7920.0;23:00;07:50;38859.0;YES;43;92;15/04/2015;23:00;23:13;780.0;22:45;12:00;33395.0;NO;0;0;16/04/2015;23:00;23:38;2280.0;23:19;08:30;30083.0;NO;0;0;17/04/2015;01:00;NA;NA;NA;08:00;NA;NO;70;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19/04/2015;23:00;22:44;-960.0;23:04;09:00;33357.0;YES;56;100;20/04/2015;23:00;00:36;5760.0;23:00;08:00;29299.0;YES;47;47;21/04/2015;23:00;23:23;1380.0;23:00;08:45;32766.0;YES;18;100;22/04/2015;23:00;23:17;1020.0;23:00;08:30;33167.0;YES;41;100;23/04/2015;23:00;23:07;420.0;23:00;08:30;35576.0;YES;82;100
6;0;12/04/2015;00:00;00:18;1080.0;NA;12:30;29463.0;NO;69;34;13/04/2015;00:00;NA;NA;NA;08:30;NA;NO;67;55;14/04/2015;00:00;01:03;3780.0;NA;12:00;32179.0;NO;48;60;15/04/2015;00:00;03:20;12000.0;NA;10:00;22152.0;NO;0;0;16/04/2015;05:00;02:22;-9480.0;NA;09:30;31063.0;NO;58;9;17/04/2015;01:00;00:58;-120.0;NA;11:00;36094.0;YES;37;59;18/04/2015;05:30;NA;NA;NA;11:00;NA;NO;45;0;19/04/2015;01:00;02:27;5220.0;NA;15:00;30737.0;NO;32;70;20/04/2015;01:00;NA;NA;NA;11:00;NA;NO;46;50;21/04/2015;01:30;01:53;1380.0;NA;11:30;28282.0;NO;0;0;22/04/2015;00:30;02:54;8640.0;NA;09:45;29153.0;YES;50;58;23/04/2015;00:00;01:37;5820.0;NA;11:00;29272.0;NO;0;0
7;0;12/04/2015;23:00;23:39;2340.0;NA;07:30;29735.0;YES;77;66;13/04/2015;23:00;23:46;2760.0;NA;07:55;29296.0;NO;29;0;14/04/2015;23:00;23:20;1200.0;NA;07:55;32364.0;NO;44;0;15/04/2015;23:00;23:33;1980.0;NA;08:20;32198.0;NO;30;0;16/04/2015;23:00;23:03;180.0;NA;08:30;31285.0;NO;0;0;17/04/2015;00:00;00:03;180.0;NA;07:45;30419.0;NO;38;22;18/04/2015;23:00;23:07;420.0;NA;08:30;31965.0;NO;49;45;19/04/2015;23:30;23:28;-120.0;NA;08:00;NA;YES;61;47;20/04/2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22/04/2015;23:30;23:10;-1200.0;NA;07:40;35373.0;YES;32;30;23/04/2015;23:30;23:27;-180.0;NA;09:00;NA;YES;61;48
8;1;19/04/2015;23:00;NA;NA;21:30;09:00;NA;NO;46;9;20/04/2015;22:30;NA;NA;21:45;09:00;NA;NO;0;0;21/04/2015;22:30;22:13;-1020.0;22:00;06:30;29811.0;YES;29;45;22/04/2015;23:00;22:33;-1620.0;22:02;06:30;32166.0;YES;47;28;23/04/2015;23:00;22:52;-480.0;22:35;07:30;27434.0;NO;0;0;24/04/2015;23:00;NA;NA;NA;06:30;NA;NO;47;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;0;31/05/2015;23:00;NA;NA;NA;08:30;NA;NO;0;0;01/06/2015;00:00;NA;NA;NA;06:45;NA;YES;69;64;02/06/2015;00:00;NA;NA;NA;06:45;NA;NO;0;0;03/06/2015;00:30;NA;NA;NA;06:45;NA;NO;54;17;04/06/2015;00:00;NA;NA;NA;07:30;NA;YES;73;52;05/06/2015;23:00;NA;NA;NA;06:45;NA;YES;53;55;06/06/2015;23:00;NA;NA;NA;05:30;NA;NO;76;9;07/06/2015;23:00;NA;NA;NA;11:00;NA;YES;11;22;08/06/2015;23:00;NA;NA;NA;06:45;NA;YES;63;47;09/06/2015;00:00;NA;NA;NA;06:45;NA;YES;82;53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11/06/2015;00:00;NA;NA;NA;08:00;NA;NO;0;0
10;1;31/05/2015;23:00;23:56;3360.0;23:00;09:00;23599.0;YES;52;100;01/06/2015;00:00;00:00;0.0;00:00;06:30;32374.0;YES;87;100;02/06/2015;23:30;23:35;300.0;23:30;09:00;24871.0;YES;86;93;03/06/2015;23:00;22:45;-900.0;22:45;06:30;34185.0;NO;88;100;04/06/2015;00:00;22:46;-4440.0;23:45;08:15;38623.0;YES;98;99;05/06/2015;03:00;03:53;3180.0;03:00;09:30;15681.0;NO;100;0;06/06/2015;01:00;00:26;-2040.0;01:00;08:15;31734.0;YES;70;49;07/06/2015;23:00;23:29;1740.0;23:00;09:15;25252.0;YES;11;100;08/06/2015;23:00;23:17;1020.0;23:00;06:30;36729.0;YES;63;95;09/06/2015;23:00;23:06;360.0;22:45;09:30;26633.0;YES;22;100;10/06/2015;23:00;NA;NA;22:30;06:30;NA;NO;55;100;11/06/2015;23:00;23:01;60.0;23:00;09:00;35935.0;YES;37;100
12;1;31/05/2015;23:30;23:21;-540.0;23:30;12:00;36507.0;YES;23;78;01/06/2015;00:00;23:39;-1260.0;23:30;09:30;28219.0;YES;83;76;02/06/2015;02:30;03:44;4440.0;23:30;07:30;18932.0;YES;89;12;03/06/2015;23:30;23:47;1020.0;23:30;09:00;27780.0;NO;28;0;04/06/2015;23:30;23:31;60.0;23:30;07:30;35910.0;YES;75;50;05/06/2015;00:30;NA;NA;23:30;09:30;NA;NO;100;21;06/06/2015;NA;NA;NA;23:30;NA;NA;NA;NA;NA;07/06/2015;00:00;20:52;-11280.0;00:30;10:30;39121.0;YES;75;42;08/06/2015;23:30;23:12;-1080.0;23:30;07:45;NA;YES;68;70;09/06/2015;NA;NA;NA;23:30;NA;NA;NA;NA;NA;10/06/2015;23:30;22:51;-2340.0;23:30;07:45;30186.0;YES;51;80;11/06/2015;23:30;00:26;3360.0;23:30;07:15;29925.0;YES;58;64
